"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00200220","2008-06-01","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  267",",,0","  106",",,0",,,"  156",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-02","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  233",",,0","   89",",,0",,,"  189",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-03","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  283",",,0","  167",",,0",,,"  183",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-06-04","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","  109",",,0,0830","    0",",,0","    0",",,0","  211",",,0","  144",",,0",,,"  161",",,0,0830",,,"    1",",,0",,,,,,,,,,
"USC00200220","2008-06-05","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    5",",,0,0830","    0",",,0","    0",",,0","  211",",,0","  156",",,0",,,"  200",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-06","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  300",",,0","  200",",,0",,,"  244",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-07","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   15",",,0,0830","    0",",,0","    0",",,0","  333",",,0","  183",",,0",,,"  211",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-06-08","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","  119",",,0,0830","    0",",,0","    0",",,0","  294",",,0","  194",",,0",,,"  250",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-06-09","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   38",",,0,0830","    0",",,0","    0",",,0","  328",",,0","  189",",,0",,,"  261",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-06-10","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","  368",",,0,0830","    0",",,0","    0",",,0","  317",",,0","  172",",,0",,,"  178",",,0,0830",,,,,"    1",",,0",,,,,,,,
