"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00201502","1978-06-05","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-06","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-07","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-08","42.3263","-84.0133","274.3","CHELSEA, MI US","   48",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-09","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-10","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-11","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-12","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-13","42.3263","-84.0133","274.3","CHELSEA, MI US","  132",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-14","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-15","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-16","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-17","42.3263","-84.0133","274.3","CHELSEA, MI US","   64",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-18","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-19","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-20","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-21","42.3263","-84.0133","274.3","CHELSEA, MI US","  345",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-22","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-23","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-24","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-25","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-26","42.3263","-84.0133","274.3","CHELSEA, MI US","  157",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-27","42.3263","-84.0133","274.3","CHELSEA, MI US","   61",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-28","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-29","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-06-30","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-07-01","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-07-02","42.3263","-84.0133","274.3","CHELSEA, MI US","   66",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-07-03","42.3263","-84.0133","274.3","CHELSEA, MI US","   99",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-07-04","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-07-05","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-07-06","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-07-07","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-07-08","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
