"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00200842","2001-11-28","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   15",",,0,0700","    0","P,,0","    0","P,,0","  139",",,0","   44",",,0",,,,,,,"   44",",,0,0700",,
"USC00200842","2001-11-29","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","  191",",,0,0700","    0","P,,0","    0","P,,0","   78",",,0","   39",",,0",,,,,,,"   61",",,0,0700",,
"USC00200842","2001-11-30","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","  178",",,0,0700","    0","P,,0","    0","P,,0","  111",",,0","   39",",,0",,,,,,,"  111",",,0,0700",,
"USC00200842","2001-12-01","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   28",",,0,0700","    0","P,,0","    0","P,,0","  117",",,0","   56",",,0",,,,,,,"   56",",,0,0700",,
"USC00200842","2001-12-02","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  117",",,0","  -11",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2001-12-03","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   25",",,0,0700","    0","P,,0","    0","P,,0","  100",",,0","   -6",",,0",,,,,,,"   94",",,0,0700",,
"USC00200842","2001-12-04","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    5",",,0,0700","    0","P,,0","    0","P,,0","  133",",,0","   78",",,0",,,,,,,"  100",",I,0,0700",,
"USC00200842","2001-12-05","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    8",",,0,0700","    0","P,,0","    0","P,,0","  161",",,0","  111",",I,0",,,,,,,"  117",",,0,0700",,
"USC00200842","2001-12-06","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    8",",,0,0700","    0","P,,0","    0","P,,0","  194",",,0","   83",",,0",,,,,,,"   83",",,0,0700",,
"USC00200842","2001-12-07","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  100",",,0","   17",",,0",,,,,,,"   33",",,0,0700",,
