"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00004848","1998-02-01","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   78",",,M","  -22",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-02","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   67",",,M","  -22",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-03","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   22",",,M","  -33",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-04","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   11",",,M","  -28",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-05","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   28",",,M","  -17",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-06","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   39",",,M","  -39",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-07","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   33",",,M","  -33",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-08","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   39",",,M","  -50",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-09","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   56",",,M","  -67",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-10","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"  122",",,M","  -67",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-11","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   67",",,M","   22",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-12","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   67",",,M","   11",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-13","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   28",",,M","    0",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-14","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   17",",,M","  -33",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-15","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   94",",,M","  -39",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-16","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   72",",,M","  -11",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-17","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   50",",,M","   28",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-18","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   56",",,M","   33",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-19","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   44",",,M","   22",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-20","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   44",",,M","   22",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-21","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   44",",,M","   11",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-22","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   78",",,M","  -22",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-23","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   44",",,M","   11",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-24","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   39",",,M","  -28",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-25","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   89",",,M","  -11",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-26","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   61",",,M","    6",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-27","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"  150",",,M","   39",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-02-28","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"  111",",,M","   -6",",,M",,,,,,,,,,,,,,,,,,,,,,,,
"USW00004848","1998-03-01","41.56327","-83.47671","189.0","TOLEDO METCALF FIELD, OH US",,,,,"   83",",,M","   22",",,M",,,,,,,,,,,,,,,,,,,,,,,,
